x,y
5.66986,-9.75156
4.90058,-14.1738
5.23275,-4.26061
2.71456,-4.91049
0.381938,-6.62725
0.548162,4.43355
6.2529,-4.4963
1.12645,3.4436
5.16211,-9.63969
7.94172,-3.12899
9.35912,-4.59204
-1.99196,3.26162
-1.99988,1.67945
1.61077,-2.67265
0.0271001,-2.1088
5.8804,-1.63129
6.02485,-1.55057
4.12762,-1.29653
1.84123,-1.3781
2.5602,-4.95625
7.06098,-12.4354
-0.529974,-1.776
4.80552,-1.15541
6.6095,-5.54289
5.46769,-10.0035
8.29201,-9.51538
-3.71136,2.57161
-0.29098,-0.160237
2.82405,-2.60583
-0.121649,-0.526399
2.92671,-6.53972
5.45103,-1.91791
1.96726,-2.06423
-3.47056,3.71236
6.20325,-3.64597
1.89559,-0.871221
-0.216108,3.96717
2.54812,-3.52712
-4.41934,3.59945
5.18299,-2.30283
-1.56906,-3.17544
1.40917,1.86303
-0.908716,3.63984
-1.84341,4.70862
0.880369,-5.16859
1.41384,1.23054
3.72026,-0.956037
3.46951,-7.75013
3.04466,-2.53365
8.10193,-6.35073
4.90738,-3.71134
-1.12499,3.2731
-2.16976,3.17889
-0.115776,-1.66029
5.8503,-5.93851
5.29266,-1.77857
2.30005,-6.31018
1.38928,-10.5857
1.70833,-6.79142
-0.816495,4.91638
-1.8585,-7.91115
7.20315,-6.25438
-5.94615,7.70933
5.80661,-5.48828
-0.314575,-3.04872
1.92405,-4.34432
4.0496,-5.82658
6.61191,-7.87186
-1.05534,3.10638
11.0696,-7.05033
-0.677533,5.02571
3.89378,-4.07567
2.94238,-4.66366
1.82572,-7.7988
1.22926,-1.48583
5.78914,-12.2084
3.51728,-8.07881
3.29457,-6.63274
0.0964806,-9.44776
-4.87571,1.20343
5.9224,-6.44031
-0.815377,-0.0457268
4.37215,-1.39397
-2.1859,7.05804
3.19279,-6.14663
2.07656,-2.40179
-3.04341,2.49867
1.66411,-2.77934
2.20094,-0.0319362
2.67727,0.374977
3.66583,-15.8971
-3.0009,-0.293175
-1.294,6.26502
3.71282,0.0789549
4.10927,-0.309143
6.36391,-4.73882
1.76142,0.851578
-2.70279,2.2928
7.0855,-6.89418
4.4453,-7.58217
-2.50612,-2.68149
-2.69754,0.714052
6.74117,-2.0379
7.41533,-5.0005
8.62847,-5.83908
0.650037,-2.86532
4.10704,-2.35241
-0.981535,-7.10001
8.13737,-4.22913
0.738008,3.4968
3.70718,-7.06751
0.303299,-2.3844
9.15225,-4.48398
-5.06681,-8.0203
3.17282,-1.67806
5.55118,-3.04473
4.07274,-0.497424
-1.30123,0.2984
-0.861965,2.64515
1.5191,-10.3632
3.56686,-4.50952
-1.25104,4.88068
9.75666,-9.40596
0.783354,2.11222
6.1644,-4.20475
1.33625,1.47404
-3.01134,2.76533
1.44021,-3.24236
4.15228,-8.2483
2.25489,-2.08126
2.38725,2.3561
2.08989,-4.74619
-4.3095,-3.80426
-2.66466,-6.12925
-2.02089,-1.5904
-3.14479,-15.8254
0.107555,-1.86352
5.84215,-8.19418
1.1216,0.938833
-1.56566,3.48837
0.448182,-0.657988
-1.09152,0.852712
5.79581,-12.8792
0.736163,-0.896571
6.82561,-5.73233
1.46197,-5.46128
-6.81608,8.21883
-3.27847,5.43469
2.07151,-4.76503
-0.0493717,1.43971
0.354295,2.64975
0.406647,-8.87025
11.0114,-15.2117
3.6402,-0.0963726
1.82205,-0.916463
3.71643,-2.27885
-0.0956273,-14.6101
-1.51191,6.34445
-5.39459,-0.0405788
1.6085,-3.00673
2.90413,0.268673
6.36636,-2.469
5.87432,-4.7065
5.47176,-9.82336
2.55721,1.93493
2.2291,0.304444
1.13262,-6.36883
9.36164,-8.33798
-5.39306,6.69556
7.07868,-5.08169
-0.70477,-5.9106
3.03107,-4.51726
1.94984,-6.28421
-2.5526,5.22994
4.91725,-8.10127
2.16445,-7.72624
3.67989,-3.13648
1.20137,-3.19237
-3.15137,-13.6772
6.94603,-9.44181
-4.09431,5.41617
-3.06696,7.85642
1.02878,-0.887544
6.62388,-4.48939
8.08442,-6.88171
-0.101611,-8.28468
2.16014,-9.13025
