x,y
0.654676,2.11227
1.64101,1.60806
2.15915,0.287918
1.41747,-0.718945
3.28091,0.599946
1.22515,-1.27172
2.38714,1.86633
1.30819,-0.0325767
1.30035,0.641796
0.678641,-0.113812
2.24417,1.04745
-0.529851,1.84485
1.39271,3.22414
1.4728,0.993583
1.98068,0.250164
2.5565,1.15423
1.89464,0.772023
0.0954844,-0.328406
0.13704,1.05419
1.56323,-0.0620373
0.695298,1.78689
0.281612,0.93045
1.29053,-0.704961
2.33681,0.358981
3.08178,1.15559
0.437511,1.03859
1.73065,0.894486
1.16373,1.31924
1.98543,0.108877
-0.373329,2.31713
0.10098,1.50562
2.01119,0.840648
0.498025,1.97399
1.35176,0.757638
2.33978,-0.0740049
1.10271,1.52894
1.90516,1.39698
1.77923,0.888914
2.22358,0.605197
1.59007,1.2645
-0.49799,0.907702
0.0639239,2.94076
-0.463512,1.79944
0.319033,2.01151
-0.499969,0.709931
0.402693,0.165918
-1.09693,2.41749
2.61462,0.971759
0.0259131,2.53808
0.296014,2.33881
0.00677502,0.2364
-0.494249,1.49395
1.4701,0.296089
1.27471,0.649422
1.50621,0.306179
1.0319,0.337934
0.460308,0.327737
1.6515,1.83392
1.22632,1.07581
2.28073,1.68766
0.178735,1.03935
2.31719,0.841038
2.52775,1.43827
-0.222799,1.3592
0.640049,-0.119531
1.76524,-1.05442
-0.331784,3.23058
0.364197,1.29759
2.60995,1.19277
1.99999,1.20383
1.70426,2.35382
1.06182,1.0697
0.965589,3.09466
1.34265,0.651099
-0.256651,1.74668
-0.288742,1.61605
-0.0532371,2.15381
-0.132493,0.278001
1.20138,0.355574
1.65237,-0.192861
1.48363,1.01096
1.36692,-0.750443
0.40355,1.33819
3.44887,0.24537
0.926508,1.66529
1.92846,0.562989
2.073,-0.689422
0.502208,1.62338
0.802527,3.0324
-0.927839,0.821452
0.136239,1.57709
0.562391,1.11611
2.68695,0.259606
2.11889,2.41395
-0.072745,0.47997
2.58709,2.36178
0.112206,2.19353
0.195545,1.64953
1.23309,1.53103
-0.260305,1.79507
0.131741,1.06831
1.56543,0.641154
0.390547,1.27922
0.706012,0.174271
2.84123,2.51489
-0.236529,1.97505
0.265872,1.95666
-0.0304122,0.4342
0.493717,1.98357
0.731676,-0.317465
1.77078,2.02553
1.36276,0.260261
2.32543,0.438615
0.673191,1.39898
1.23262,2.42192
1.56292,0.718198
3.74215,0.933206
0.491815,0.241971
0.976578,2.12341
2.18407,0.876694
-0.86764,0.964045
1.55081,0.0442543
0.326296,1.42473
0.815952,3.50413
1.50523,1.7618
0.473897,0.391097
-0.054027,0.995896
0.637031,0.0591098
1.49126,0.800727
1.22865,1.76498
1.3791,1.40139
-1.10483,0.949932
2.63449,-0.0874515
-0.454326,1.6568
1.29575,0.212146
-0.392265,0.103071
0.352293,0.732879
1.70195,0.882594
-0.573119,1.56053
2.19774,1.72633
-0.227179,0.95498
1.28933,1.8819
-0.460852,1.08858
-1.04143,2.59221
0.630668,2.15382
0.220092,-0.146073
1.81705,2.35156
1.67782,1.6998
0.353461,0.653818
1.41062,1.67916
0.930064,0.380495
0.867377,-0.468767
0.761164,0.183294
2.02548,-0.293842
0.696975,1.25432
2.48726,0.776095
0.452208,2.8318
1.22684,0.0360819
1.94894,3.49572
-0.722228,2.18544
1.66546,0.664954
-0.281247,0.909138
1.55765,3.3766
2.36887,2.69231
1.63214,0.489504
-0.542441,0.897361
0.456958,1.84835
1.86225,0.674483
2.06499,0.473271
0.734186,1.09124
1.83058,0.276057
2.07824,1.4041
-0.0289439,0.292463
1.46258,-0.242314
1.32317,0.277678
1.71092,1.91435
0.575012,-0.288773
0.347319,-0.823213
0.427082,-0.348927
-0.204124,1.11455
0.697841,1.03448
-0.464625,-0.488894
2.0804,0.114445
1.80079,-0.281798
1.81252,1.10131
1.97726,1.58672
-0.0719776,2.12784
2.21044,1.11601
2.5326,2.27219
-1.48654,1.46367
2.37391,0.134691
1.60528,2.02767
1.17985,0.57736
1.45165,-0.186035
1.59508,2.75724
-0.0786438,0.11891
1.91502,1.3976
0.481012,-0.0430397
1.79329,1.35026
-0.31829,2.08208
0.896484,1.12703
1.0124,-0.228323
1.51015,1.95538
2.56228,0.200318
1.13862,2.07894
1.19056,1.10529
1.73217,1.0869
3.98108,0.682822
1.37402,2.24336
0.813714,1.46275
1.23717,1.99573
2.28852,1.68455
1.67678,1.63205
1.65298,-0.483983
-0.263834,0.888298
1.38881,1.31469
1.36452,1.82701
2.7674,-0.381291
2.70644,2.13565
-0.169383,1.12821
0.541384,1.0776
1.17144,2.89772
1.05764,2.27403
0.973444,-0.00945914
0.362141,1.01462
0.563771,2.1889
0.270531,3.09735
0.735595,-0.082957
0.456431,-0.47485
2.29361,1.30474
-0.381042,3.14407
1.18607,0.991493
2.17743,2.70378
0.307314,0.314271
1.66453,1.20436
0.736309,2.68899
2.14848,0.798736
1.22371,1.33437
1.44729,-1.02605
0.879321,-0.509851
0.951874,1.63988
0.823643,-0.329092
1.69867,1.73479
0.752499,1.41327
0.0241202,-0.680969
2.79665,3.00573
-0.189061,1.47015
-1.21893,0.650429
1.64635,1.23879
1.4806,-0.305039
-0.203844,0.494284
2.10041,2.73944
1.9142,2.67537
1.09304,0.325753
-0.546474,1.38226
2.38636,1.51947
0.798197,-0.268328
2.44924,0.939723
1.32312,1.09645
0.519139,0.199776
0.696312,1.86638
1.26229,1.42306
-0.760852,0.812334
1.32502,1.96476
1.38114,1.19631
0.416028,0.152582
0.550235,0.496008
-0.124279,1.43798
0.669318,0.546872
3.10584,0.459137
0.336233,1.17655
0.916458,-1.48714
-0.750226,0.463353
1.29302,0.818148
-0.323499,1.28313
0.928204,0.509869
1.58202,1.72103
1.02732,0.461357
1.59098,-0.0923531
-0.0445226,2.21057
1.30231,1.80227
0.590162,0.855576
1.6939,1.6101
2.062,2.16002
0.714282,1.61736
0.175032,2.03078
0.486921,1.5105
0.403548,1.12169
0.440354,0.606447
0.369305,1.12718
-0.675697,0.7866
-0.190243,1.31273
0.289898,3.54021
3.52194,1.81323
0.112393,1.74105
1.77138,-0.361772
0.650324,1.02762
0.801815,1.56096
1.11132,-0.447772
-0.626531,0.164814
2.10304,2.3673
-0.674385,0.589257
-0.0180405,2.23783
1.68529,0.245262
1.85383,-0.125063
1.30638,2.07154
2.15712,-0.229884
2.19552,1.09217
0.162509,0.141836
1.02676,0.205948
1.25167,1.88056
2.31674,1.12717
-0.245384,-0.387502
0.994884,0.801342
2.03434,-0.0286409
1.03089,2.33465
0.184502,0.9371
0.926795,-0.383439
0.834579,0.730554
1.80066,2.52124
0.887507,1.1238
2.61786,0.84875
2.58379,1.52654
1.27205,1.15691
1.10902,0.847025
0.0758248,0.20195
0.143664,1.94837
0.663547,1.21761
2.28806,-0.0604969
-1.2667,-0.502538
-0.311884,2.148
0.00556827,1.27007
0.793205,0.290242
1.3878,0.119408
-0.371672,1.39114
1.35058,3.04301
1.35946,0.847808
0.550407,1.31908
1.01819,0.437822
-0.325308,0.5373
-0.215491,0.830644
0.379776,-0.795396
0.891715,-0.0636904
1.67287,2.0418
-0.312759,1.11009
2.43917,-0.675745
2.39574,1.96428
-1.32776,1.98244
1.30014,2.2458
0.458573,2.24488
0.195839,0.764027
0.55367,2.21987
1.04538,1.02585
1.2672,1.28156
1.87915,2.39432
3.33063,1.30173
3.71688,1.08278
1.56187,2.44232
1.59444,0.348364
1.48078,1.70342
1.5411,-0.0255936
0.334063,0.684255
-0.752834,0.845666
0.360052,0.0947053
1.436,1.15376
1.03807,-0.531038
0.563723,0.239842
2.9838,1.83744
0.660212,1.47494
2.09076,2.46714
1.41263,1.43841
2.74783,2.34388
1.75309,1.72381
0.596813,0.794513
0.522473,-0.0932744
-1.07738,0.0244678
0.247491,1.27801
1.81326,0.616335
0.141248,1.23344
1.61486,1.75291
-0.666164,-0.266156
-0.505222,0.3012
0.322732,1.1563
0.849153,1.89339
1.34953,1.7621
-0.786197,-1.47817
0.0268888,0.26706
1.46054,-0.524273
0.280399,0.617354
0.868037,2.65876
-0.391415,0.936047
0.112046,0.417751
1.88933,0.39125
2.33465,2.07106
3.02122,1.43473
2.28081,0.86681
1.32166,1.59552
-0.272881,0.606589
0.735583,1.25882
-0.194876,2.17792
1.44895,-1.1099
3.11836,0.354683
0.672831,2.77864
0.818401,1.01512
0.184041,0.387929
0.470176,2.83269
1.7064,-0.216541
0.365492,-0.18266
-1.70402,1.52735
0.580989,0.854145
-0.819618,1.17934
0.517878,-0.0956285
2.13437,0.804379
2.04724,1.67001
-0.0123429,0.679964
0.0885736,0.831219
1.41141,1.08832
1.40473,0.544353
0.101662,-0.608781
2.75284,-1.40146
0.910051,0.487953
0.455513,0.385442
1.56884,2.28966
0.929108,0.215144
-0.0239068,-1.32626
2.14002,1.34597
-0.377978,1.29306
