x,y
3.65468,5.11227
4.64101,4.60806
5.15915,3.28792
4.41747,2.28105
6.28091,3.59995
4.22515,1.72828
5.38714,4.86633
4.30819,2.96742
4.30035,3.6418
3.67864,2.88619
5.24417,4.04745
2.47015,4.84485
4.39271,6.22414
4.4728,3.99358
4.98068,3.25016
5.5565,4.15423
4.89464,3.77202
3.09548,2.67159
3.13704,4.05419
4.56323,2.93796
3.6953,4.78689
3.28161,3.93045
4.29053,2.29504
5.33681,3.35898
6.08178,4.15559
3.43751,4.03859
4.73065,3.89449
4.16373,4.31924
4.98543,3.10888
2.62667,5.31713
3.10098,4.50562
5.01119,3.84065
3.49803,4.97399
4.35176,3.75764
5.33978,2.926
4.10271,4.52894
4.90516,4.39698
4.77923,3.88891
5.22358,3.6052
4.59007,4.2645
2.50201,3.9077
3.06392,5.94076
2.53649,4.79945
3.31903,5.01151
2.50003,3.70993
3.40269,3.16592
1.90307,5.41749
5.61462,3.97176
3.02591,5.53808
3.29601,5.33881
3.00677,3.2364
2.50575,4.49395
4.4701,3.29609
4.27471,3.64942
4.50621,3.30618
4.0319,3.33793
3.46031,3.32774
4.6515,4.83392
4.22632,4.07581
5.28073,4.68766
3.17873,4.03935
5.31719,3.84104
5.52775,4.43827
2.7772,4.3592
3.64005,2.88047
4.76524,1.94558
2.66822,6.23058
3.3642,4.29759
5.60995,4.19277
4.99999,4.20383
4.70426,5.35382
4.06182,4.0697
3.96559,6.09466
4.34265,3.6511
2.74335,4.74668
2.71126,4.61605
2.94676,5.15381
2.86751,3.278
4.20138,3.35557
4.65238,2.80714
4.48363,4.01096
4.36692,2.24956
3.40355,4.33819
6.44887,3.24537
3.92651,4.66529
4.92846,3.56299
5.073,2.31058
3.50221,4.62338
3.80253,6.0324
2.07216,3.82145
3.13624,4.57709
3.56239,4.11611
5.68695,3.25961
5.11889,5.41395
2.92726,3.47997
5.58709,5.36178
3.11221,5.19353
3.19555,4.64953
4.23309,4.53103
2.7397,4.79507
3.13174,4.06831
4.56543,3.64115
3.39055,4.27922
3.70601,3.17427
5.84123,5.51489
2.76347,4.97505
3.26587,4.95666
2.96959,3.4342
3.49372,4.98357
3.73168,2.68253
4.77078,5.02553
4.36276,3.26026
5.32543,3.43861
3.67319,4.39898
4.23262,5.42192
4.56292,3.7182
6.74215,3.93321
3.49182,3.24197
3.97658,5.12341
5.18407,3.87669
2.13236,3.96404
