x,y
2.61871,12.8982
6.56402,8.86445
8.6366,-1.69666
5.66986,-9.75156
13.1236,0.799571
4.90058,-14.1738
9.54856,10.9306
5.23275,-4.26061
5.2014,1.13437
2.71456,-4.91049
8.97667,4.37958
-2.1194,10.7588
5.57084,21.7931
5.89122,3.94866
7.9227,-1.99869
10.226,5.23383
7.57857,2.17618
0.381938,-6.62725
0.548162,4.43355
6.2529,-4.4963
2.78119,10.2951
1.12645,3.4436
5.16211,-9.63969
9.34723,-1.12815
12.3271,5.24471
1.75004,4.3087
6.92258,3.15588
4.65491,6.55389
7.94172,-3.12899
-1.49331,14.537
0.403919,8.04498
8.04475,2.72519
1.9921,11.792
5.40705,2.0611
9.35912,-4.59204
4.41085,8.23151
7.62066,7.17581
7.11694,3.11131
8.89433,0.841573
6.36028,6.11599
-1.99196,3.26162
0.255696,19.5261
-1.85405,10.3956
1.27613,12.0921
-1.99988,1.67945
1.61077,-2.67265
-4.38773,15.3399
10.4585,3.77407
0.103652,16.3046
1.18406,14.7105
0.0271001,-2.1088
-1.977,7.95159
5.8804,-1.63129
5.09883,1.19537
6.02485,-1.55057
4.12762,-1.29653
1.84123,-1.3781
6.60599,10.6713
4.90526,4.60646
9.12294,9.50128
0.714939,4.31482
9.26877,2.7283
10.111,7.50614
-0.891197,6.87362
2.5602,-4.95625
7.06098,-12.4354
-1.32713,21.8447
1.45679,6.38069
10.4398,5.54218
7.99996,5.63067
6.81702,14.8306
4.24727,4.55763
3.86236,20.7573
5.3706,1.20879
-1.0266,9.97341
-1.15497,8.92842
-0.212948,13.2305
-0.529974,-1.776
4.80552,-1.15541
6.6095,-5.54289
5.93453,4.08769
5.46769,-10.0035
1.6142,6.70548
13.7955,-2.03704
3.70603,9.32232
7.71385,0.503909
8.29201,-9.51538
2.00883,8.98702
3.21011,20.2592
-3.71136,2.57161
0.544957,8.61669
2.24956,4.92889
10.7478,-1.92315
8.47558,15.3116
-0.29098,-0.160237
10.3484,14.8942
0.448823,13.5482
0.782182,9.19624
4.93237,8.24826
-1.04122,10.3606
0.526963,4.54646
6.26173,1.12923
1.56219,6.23373
2.82405,-2.60583
11.3649,16.1191
-0.946118,11.8004
1.06349,11.6533
-0.121649,-0.526399
1.97487,11.8686
2.92671,-6.53972
7.08313,12.2043
5.45103,-1.91791
9.30174,-0.491082
2.69276,7.19182
4.9305,15.3753
6.25169,1.74558
14.9686,3.46565
1.96726,-2.06423
3.90631,12.9873
8.7363,3.01355
-3.47056,3.71236
6.20325,-3.64597
1.30518,7.39781
3.26381,24.033
6.02093,10.0944
1.89559,-0.871221
-0.216108,3.96717
2.54812,-3.52712
5.96503,2.40582
4.9146,10.1198
5.51641,7.21109
-4.41934,3.59945
10.538,-4.69961
-1.8173,9.25442
5.18299,-2.30283
-1.56906,-3.17544
1.40917,1.86303
6.80779,3.06075
-2.29248,8.48424
8.79095,9.81063
-0.908716,3.63984
5.15732,11.0552
-1.84341,4.70862
-4.16573,16.7377
2.52267,13.2306
0.880369,-5.16859
7.26821,14.8125
6.71129,9.59838
1.41384,1.23054
5.6425,9.43326
3.72026,-0.956037
3.46951,-7.75013
3.04466,-2.53365
8.10193,-6.35073
2.7879,6.03452
9.94903,2.20876
1.80883,18.6544
4.90738,-3.71134
7.79578,23.9657
-2.88891,13.4835
6.66184,1.31963
-1.12499,3.2731
6.2306,23.0128
9.47548,17.5385
6.52855,-0.083972
-2.16976,3.17889
1.82783,10.7868
7.44902,1.39586
8.25997,-0.21383
2.93674,4.72988
7.32233,-1.79154
8.31295,7.23279
-0.115776,-1.66029
5.8503,-5.93851
5.29266,-1.77857
6.84366,11.3148
2.30005,-6.31018
1.38928,-10.5857
1.70833,-6.79142
-0.816495,4.91638
2.79136,4.27587
-1.8585,-7.91115
8.32161,-3.08444
7.20315,-6.25438
7.2501,4.81047
7.90906,8.69378
-0.28791,13.0227
8.84177,4.92806
10.1304,14.1775
-5.94615,7.70933
9.49565,-2.92247
6.42113,12.2214
4.7194,0.61888
5.80661,-5.48828
6.38032,18.0579
-0.314575,-3.04872
7.6601,7.18084
1.92405,-4.34432
7.17318,6.80205
-1.27316,12.6566
3.58593,5.01628
4.0496,-5.82658
6.04059,11.6431
10.2491,-2.39745
4.55446,12.6315
4.76226,4.84233
6.92868,4.69521
15.9243,1.46258
5.49608,13.9469
3.25486,7.70198
4.94869,11.9659
9.15408,9.47642
6.70711,9.05643
6.61191,-7.87186
-1.05534,3.10638
5.55523,6.51752
5.45806,10.6161
11.0696,-7.05033
10.8257,13.0852
-0.677533,5.02571
2.16553,4.62077
4.68578,19.1818
4.23058,14.1922
3.89378,-4.07567
1.44857,4.11697
2.25508,13.5112
1.08212,20.7788
2.94238,-4.66366
1.82572,-7.7988
9.17442,6.43789
-1.52417,21.1525
4.74427,3.93195
8.70974,17.6302
1.22926,-1.48583
6.65812,5.63491
2.94524,17.5119
8.59391,2.38989
4.89485,6.67493
5.78914,-12.2084
3.51728,-8.07881
3.8075,9.11901
3.29457,-6.63274
6.79468,9.87836
3.01,7.3062
0.0964806,-9.44776
11.1866,20.0458
-0.756244,7.76121
-4.87571,1.20343
6.5854,5.9103
5.9224,-6.44031
-0.815377,-0.0457268
8.40162,17.9155
7.65682,17.403
4.37215,-1.39397
-2.1859,7.05804
9.54543,8.15577
3.19279,-6.14663
9.79697,3.51778
5.29248,4.77163
2.07656,-2.40179
2.78525,10.931
5.04915,7.38449
-3.04341,2.49867
5.30008,11.7181
5.52455,5.57049
1.66411,-2.77934
2.20094,-0.0319362
-0.497116,7.50381
2.67727,0.374977
12.4234,-0.326907
1.34493,5.41243
3.66583,-15.8971
-3.0009,-0.293175
5.1721,2.54519
-1.294,6.26502
3.71282,0.0789549
6.32807,9.76827
4.10927,-0.309143
6.36391,-4.73882
-0.178091,13.6845
5.20925,10.4182
2.36065,2.84461
6.77559,8.88083
8.24798,13.2801
2.85713,8.93887
0.700128,12.2463
1.94768,8.08396
1.61419,4.97354
1.76142,0.851578
1.47722,5.01744
-2.70279,2.2928
-0.760973,6.50184
1.15959,24.3217
14.0878,10.5058
0.449572,9.92842
7.0855,-6.89418
2.6013,4.22094
3.20726,8.48766
4.4453,-7.58217
-2.50612,-2.68149
8.41217,14.9384
-2.69754,0.714052
-0.0721622,13.9027
6.74117,-2.0379
7.41533,-5.0005
5.22552,12.5723
8.62847,-5.83908
8.78209,4.73738
0.650037,-2.86532
4.10704,-2.35241
5.00668,11.0445
9.26697,5.01732
-0.981535,-7.10001
3.97954,2.41074
8.13737,-4.22913
4.12356,14.6772
0.738008,3.4968
3.70718,-7.06751
3.33832,1.84443
7.20266,16.1699
3.55003,4.99041
10.4714,2.79
10.3351,8.21228
5.0882,5.25529
4.4361,2.7762
0.303299,-2.3844
0.574658,11.587
2.65419,5.74091
9.15225,-4.48398
-5.06681,-8.0203
-1.24753,13.184
0.0222731,6.16056
3.17282,-1.67806
5.55118,-3.04473
-1.48669,7.12914
5.40233,20.3441
5.43784,2.78246
